preventTargetGapPoints,pointsPayerId,userFlaggedDescription,itemPrice,originalMetaBriteQuantityPurchased,pointsNotAwardedReason,barcode,needsFetchReviewReason,originalMetaBriteDescription,userFlaggedBarcode,metabriteCampaignId,partnerItemId,userFlaggedQuantity,originalFinalPrice,pointsEarned,quantityPurchased,originalMetaBriteBarcode,priceAfterCoupon,userFlaggedNewItem,competitorRewardsGroup,receiptid,rewardsGroup,discountedItemPrice,originalMetaBriteItemPrice,itemNumber,targetPrice,needsFetchReview,description,finalPrice,deleted,userFlaggedPrice,competitiveProduct,originalReceiptItemText,brandCode,rewardsProductPartnerId
True,,,26.00,,,4011,,,4011,,1,5,,,5,,,True,,5ff1e1eb0a720f0523000575,,,,,,False,ITEM NOT FOUND,26.00,,26.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1bb0a720f052300056b,,,,,,,ITEM NOT FOUND,1,,,,,,
True,5332f5fbe4b03c9a25efd0ba,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,,Action not allowed for user and CPG,028400642255,USER_FLAGGED,,028400642255,,2,1,,,1,,,True,,5ff1e1bb0a720f052300056b,DORITOS SPICY SWEET CHILI SINGLE SERVE,,,,,True,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,,10.00,,,,5332f5fbe4b03c9a25efd0ba
True,,,,,,,,,4011,,1,3,,,,,,True,,5ff1e1f10a720f052300057a,,,,,,False,,,,26.00,,,,
True,,,28.00,,,4011,,,4011,,1,4,,,4,,,True,,5ff1e1ee0a7214ada100056f,,,,,,False,ITEM NOT FOUND,28.00,,28.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1d20a7214ada1000561,,,,,,,ITEM NOT FOUND,1,,,,,,
True,,,2.56,,,1234,USER_FLAGGED,,1234,,2,3,,,3,,,True,,5ff1e1d20a7214ada1000561,,,,,,True,,2.56,,2.56,,,,
True,5332f5fbe4b03c9a25efd0ba,,3.25,,Action not allowed for user and CPG,4011,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,4011,,1,,,,1,028400642255,,,,5ff1e1e40a7214ada1000566,DORITOS SPICY SWEET CHILI SINGLE SERVE,,,,,False,ITEM NOT FOUND,3.25,,,,,,5332f5fbe4b03c9a25efd0ba
,,,2.23,,,,,,,,1009,,,,1,,,,TACO BELL TACO SHELLS,5ff1e1cd0a720f052300056f,,2.23,,,,,MSSN TORTLLA,2.23,,,,MSSN TORTLLA,MISSION,
,5332f5f3e4b03c9a25efd0ae,,10.00,,Action not allowed for user and CPG,046000832517,,,,,0,,,,1,,,,,5ff1e1a40a720f0523000569,OLD EL PASO BEANS & PEPPERS,,,,,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,,,,,BRAND,5332f5f3e4b03c9a25efd0ae
True,,,20.00,,,4011,,,4011,,1,5,,,5,,,True,,5ff1e1ed0a7214ada100056e,,,,,,False,ITEM NOT FOUND,20.00,,20.00,,,,
True,,,20.00,,,4011,,,4011,,1,3,,,3,,,True,,5ff1e1eb0a7214ada100056b,,,,,,False,ITEM NOT FOUND,20.00,,20.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1c50a720f052300056c,,,,,,,ITEM NOT FOUND,1,,,,,,
,5332f5f3e4b03c9a25efd0ae,,50.00,1,Action not allowed for user and CPG,013562300631,POINTS_GREATER_THAN_THRESHOLD,,,,1,,,,5,,,,,5ff1e1a10a720f0523000568,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,50.00,,013562300631,,True,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,,,,,,5332f5f3e4b03c9a25efd0ae
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,1,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,2,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,3,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,4,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,5,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,6,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,7,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,8,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
